timestamp,pitch,yaw,roll,lat,lon,alt,velocity_x,velocity_y,velocity_z,battery,heading,airspeed,groundspeed
0,0.01629006117582321,-0.046661484986543655,0.029600180685520172,36.7156066,3.1846299,17.95,-0.02,0.03,0.0,96,357,0.037940893322229385,0.037804488092660904
1,-0.08191154152154922,-0.045852940529584885,0.08074099570512772,36.7156078,3.1846324,17.99,0.33,0.57,0.0,95,357,0.6660746335983276,0.6660093665122986
2,-0.18729574978351593,1.493187665939331,-0.1323276311159134,36.715624,3.1846628,17.95,1.79,2.66,-0.03,95,85,3.2159814834594727,3.215817451477051
3,-0.131928950548172,0.8881486654281616,0.027654750272631645,36.7156528,3.1847158,17.98,2.3,3.42,-0.03,95,50,4.12811279296875,4.127959728240967
4,0.028242819011211395,0.9449434876441956,-0.029027877375483513,36.7156838,3.1847716,18.01,1.98,2.86,-0.01,94,54,3.483795404434204,3.4837560653686523
5,0.3651248812675476,0.8261998891830444,-0.06649657338857651,36.7156958,3.1847921,17.99,-0.91,-1.36,0.0,94,47,1.6390159130096436,1.639015793800354
6,-0.06576056778430939,-0.9578327536582947,-0.13016963005065918,36.7156724,3.1847492,18.04,-2.22,-3.22,-0.02,93,305,3.9172325134277344,3.9171552658081055
7,-0.08310450613498688,-2.4326391220092773,0.0696963369846344,36.7156372,3.1846843,18.03,-2.02,-3.23,0.01,93,220,3.8162355422973633,3.8162152767181396
8,-0.04174196347594261,-1.4340540170669556,0.252839595079422,36.7156236,3.1846316,18.01,0.37,-2.81,0.0,93,277,2.8433549404144287,2.8433375358581543
9,-0.4392578899860382,-0.6538150310516357,0.08018774539232254,36.715655,3.1845832,18.01,4.17,-3.19,0.0,92,322,5.255733489990234,5.255732536315918
10,-0.4813804626464844,-0.6213574409484863,0.041842181235551834,36.7157307,3.184517,18.01,6.76,-4.69,-0.01,92,324,8.234338760375977,8.234328269958496
11,-0.5163583159446716,-0.6166746616363525,-0.017454223707318306,36.7158489,3.1844148,18.03,7.87,-5.53,0.0,91,324,9.626386642456055,9.626386642456055
12,-0.31973227858543396,-0.6200088262557983,0.0031733480282127857,36.715972,3.1843063,18.07,7.35,-5.22,-0.01,91,324,9.02454948425293,9.024527549743652
13,-0.053277961909770966,-0.6260778307914734,-0.05136721953749657,36.7160594,3.1842291,18.08,5.12,-3.7,0.05,91,324,6.321263790130615,6.321027755737305
14,0.04084344953298569,-1.1913856267929077,-0.2658095955848694,36.7161042,3.1841762,18.2,1.13,-2.88,-0.24,90,291,3.105713129043579,3.095731019973755
15,-0.4367811381816864,-2.136090040206909,-0.028387585654854774,36.7160848,3.184107,19.31,-3.23,-4.69,-0.97,90,237,5.779865741729736,5.696529865264893
16,-0.4434846341609955,-2.1591684818267822,0.004587474279105663,36.7160274,3.1840063,21.22,-4.92,-7.09,-1.47,89,236,8.756020545959473,8.63094711303711
17,-0.48636993765830994,-2.163360834121704,-0.006074450444430113,36.7159426,3.1838532,24.05,-5.51,-8.04,-1.59,89,236,9.885040283203125,9.755960464477539
18,-0.4514631927013397,-2.1638009548187256,0.034317102283239365,36.7158674,3.1837151,26.5,-5.55,-8.2,-1.57,88,236,10.03622055053711,9.911876678466797
19,-0.42176151275634766,-2.1630382537841797,-0.0075675793923437595,36.715792,3.1835753,28.96,-5.54,-8.23,-1.58,88,236,10.055521011352539,9.929101943969727
20,-0.4855692684650421,-2.166530132293701,0.020560679957270622,36.7157048,3.1834131,31.86,-5.51,-8.22,-1.59,88,235,10.031591415405273,9.903776168823242
21,-0.4443296194076538,-2.1638503074645996,0.04365570470690727,36.7156303,3.1832741,34.34,-5.53,-8.31,-1.6,87,236,10.114337921142578,9.985677719116211
22,-0.47590208053588867,-2.1631462574005127,-0.02138158120214939,36.7155429,3.1831106,37.25,-5.51,-8.28,-1.61,87,236,10.083369255065918,9.953607559204102
23,-0.48638591170310974,-2.1655516624450684,-0.015302474610507488,36.7154805,3.1829943,39.34,-5.51,-8.28,-1.61,86,235,10.079255104064941,9.948979377746582
24,-0.4407750964164734,-2.1624763011932373,-0.026780350133776665,36.7153812,3.1828082,42.67,-5.51,-8.31,-1.61,86,236,10.10769271850586,9.977124214172363
25,-0.48953354358673096,-2.166252851486206,-0.004060389939695597,36.7153063,3.1826683,45.16,-5.54,-8.28,-1.62,85,235,10.099891662597656,9.967988967895508
26,-0.46726569533348083,-2.166013240814209,0.04134413227438927,36.7152313,3.1825284,47.67,-5.49,-8.28,-1.63,85,235,10.081302642822266,9.947742462158203
27,-0.458038330078125,-2.163198471069336,-0.03674198314547539,36.7151446,3.1823653,50.6,-5.52,-8.31,-1.63,84,236,10.119524002075195,9.987320899963379
28,-0.4747956693172455,-2.164405584335327,0.0043373932130634785,36.7150696,3.1822254,53.1,-5.51,-8.26,-1.62,84,235,10.06934642791748,9.936976432800293
29,-0.17080576717853546,-2.1684436798095703,-0.0055009000934660435,36.7149878,3.182074,55.83,-4.5,-6.7,-1.34,83,235,8.193577766418457,8.082199096679688
30,-0.0869264081120491,-2.159642219543457,0.004497329704463482,36.7149384,3.1819812,57.38,-2.85,-4.41,-0.64,83,236,5.295831680297852,5.256065368652344
31,-0.11556939035654068,-2.1173601150512695,0.02385888807475567,36.7149058,3.1819158,57.94,-2.19,-3.71,-0.15,83,238,4.320466995239258,4.317831993103027
32,-0.1706840693950653,-2.1021528244018555,0.02859354577958584,36.7148727,3.1818441,57.99,-2.08,-3.69,-0.01,82,239,4.237005233764648,4.236973285675049
33,0.020267069339752197,-2.1047427654266357,-0.02629682794213295,36.7148459,3.1817858,57.97,-1.71,-2.99,0.05,82,239,3.4574990272521973,3.45701003074646
34,0.032079558819532394,-2.369002342224121,-0.01820569857954979,36.714824,3.1817456,56.88,-1.19,-1.24,1.28,82,224,2.153683662414551,1.7262520790100098
35,-0.04746386036276817,-2.4719929695129395,-0.018078772351145744,36.7148093,3.1817304,54.6,-1.03,-0.79,1.44,81,218,1.9456207752227783,1.3065226078033447
36,-0.02274297922849655,-2.4710745811462402,0.027199318632483482,36.7147954,3.1817173,52.36,-1.04,-0.82,1.41,81,218,1.9456043243408203,1.3302456140518188
37,-0.06173461303114891,-2.470036745071411,0.011930545791983604,36.7147787,3.1817007,49.74,-1.06,-0.88,1.42,81,218,1.9886409044265747,1.3840258121490479
38,-0.005409176927059889,-2.4695346355438232,-0.002124248770996928,36.7147641,3.1816861,47.51,-1.07,-0.87,1.44,80,218,2.001774787902832,1.3874285221099854
39,-0.03917442262172699,-2.4692399501800537,0.031142231076955795,36.7147471,3.1816691,44.89,-1.06,-0.87,1.45,80,218,2.004870653152466,1.382455825805664
40,-0.0082342978566885,-2.469583034515381,0.0009146018419414759,36.714735,3.181657,43.02,-1.07,-0.88,1.45,80,218,2.0133159160614014,1.3925796747207642
41,-0.03700532391667366,-2.469809055328369,0.02971596270799637,36.714718,3.1816398,40.41,-1.06,-0.88,1.46,79,218,2.01465106010437,1.3847670555114746
42,-0.058492064476013184,-2.469871997833252,-0.0019693668000400066,36.714701,3.1816226,37.79,-1.06,-0.89,1.47,79,218,2.0267739295959473,1.3911256790161133
43,-0.010798153467476368,-2.468977212905884,0.013968084938824177,36.7146864,3.1816079,35.54,-1.06,-0.88,1.47,78,218,2.020423650741577,1.3842979669570923
44,-0.04279032349586487,-2.469621181488037,0.028460156172513962,36.7146694,3.1815907,32.91,-1.06,-0.88,1.47,78,218,2.0210719108581543,1.3854399919509888
45,-0.018290286883711815,-2.4697072505950928,-0.02333877421915531,36.7146548,3.181576,30.67,-1.06,-0.88,1.47,78,218,2.0246660709381104,1.3854105472564697
46,-0.049907948821783066,-2.470019578933716,0.0228460393846035,36.7146402,3.1815613,28.42,-1.05,-0.88,1.47,77,218,2.019993782043457,1.379246711730957
47,-0.05195673182606697,-2.4692866802215576,-0.012102271430194378,36.7146232,3.1815442,25.79,-1.06,-0.89,1.47,77,218,2.026519775390625,1.3928987979888916
48,-0.014004984870553017,-2.4693100452423096,0.02230691723525524,36.7146086,3.1815293,23.54,-1.06,-0.88,1.47,77,218,2.0231637954711914,1.383533000946045
49,-0.05693688988685608,-2.469850540161133,0.01968594267964363,36.7145916,3.1815122,20.91,-1.06,-0.88,1.47,76,218,2.019843578338623,1.3826302289962769
50,-0.10087961703538895,-3.0711493492126465,-0.12093892693519592,36.7145734,3.1815007,18.76,-1.83,-0.2,1.14,76,184,2.172638177871704,1.8481645584106445
51,-0.2549614906311035,2.6755950450897217,-0.0052884528413414955,36.714538,3.1815129,18.0,-3.4,1.61,-0.02,75,153,3.7716996669769287,3.771629810333252
52,-0.17233526706695557,2.6794021129608154,-0.027505865320563316,36.7144763,3.1815506,18.1,-4.05,2.04,0.02,75,153,4.5474534034729,4.547368049621582
53,-0.017228348180651665,2.952704429626465,0.2012207806110382,36.7144231,3.1815781,18.05,-3.59,0.68,0.05,75,169,3.6644160747528076,3.6640231609344482
54,-0.4213346242904663,-2.2059051990509033,0.11917126178741455,36.7143733,3.1815509,18.03,-2.98,-3.78,0.02,74,233,4.82318639755249,4.823142051696777
55,-0.45659565925598145,-2.143660306930542,0.022608060389757156,36.7143259,3.1814607,18.03,-4.17,-6.63,0.0,74,237,7.839175224304199,7.83917236328125
56,-0.4562332332134247,-2.1483781337738037,-0.030220573768019676,36.7142637,3.181338,18.04,-4.91,-7.66,0.0,73,236,9.10744571685791,9.10744571685791
57,-0.31701239943504333,-2.151750326156616,0.028870714828372,36.7141861,3.1811882,18.06,-4.69,-7.22,-0.01,73,236,8.61709213256836,8.617085456848145
58,-0.2186456173658371,-2.1459476947784424,-0.01217389665544033,36.714128,3.1810758,18.06,-3.83,-6.01,0.03,73,237,7.135613918304443,7.135516166687012
59,-0.25297680497169495,-2.1126708984375,0.03590535372495651,36.7140727,3.1809627,18.04,-3.32,-5.66,0.01,72,238,6.568338871002197,6.5683159828186035
60,-0.28397855162620544,-2.1000144481658936,-0.018536565825343132,36.7140287,3.1808679,18.04,-3.24,-5.67,0.01,72,239,6.5387372970581055,6.538721561431885
61,-0.1942766010761261,-2.1002280712127686,0.02893850952386856,36.7139852,3.1807729,18.04,-3.08,-5.42,0.0,72,239,6.237060070037842,6.237058639526367
62,0.12168332934379578,-2.1010537147521973,-0.013802708126604557,36.7139453,3.1806862,18.02,-1.67,-2.89,0.04,71,239,3.347827196121216,3.3475770950317383
63,0.140456885099411,-2.1006624698638916,0.017605943605303764,36.7139335,3.1806602,18.02,-0.21,-0.4,-0.01,71,239,0.46317431330680847,0.4628269374370575
64,-0.028965694829821587,-2.1021547317504883,0.0788399949669838,36.7139342,3.1806611,18.0,0.2,0.06,0.03,70,239,0.21459032595157623,0.21105127036571503
